Position,Name,ELO,Date,Age,Year,Age_Group,ELO_Change,Era,Is_World_No1,Appearances
6,Morozevich,2745,2001 Jan,23,2001,17-25,-3,Kasparov Era,No,12
5,Morozevich,2742,2002 Jan,24,2002,17-25,-3,Kasparov Era,No,12
7,Morozevich,2732,2004 Jan,26,2004,26-30,-10,Kasparov Era,No,12
6,Morozevich,2741,2005 Jan,27,2005,26-30,9,Kasparov Era,No,12
11,Morozevich,2721,2006 Jan,28,2006,26-30,-20,Kasparov Era,No,12
8,Morozevich,2741,2007 Jan,29,2007,26-30,20,Transition,No,12
4,Morozevich,2765,2008 Jan,30,2008,26-30,24,Transition,No,12
5,Morozevich,2771,2009 Jan,31,2009,31-35,6,Transition,No,12
17,Morozevich,2732,2010 Jan,32,2010,31-35,-39,Carlsen Era,No,12
9,Morozevich,2763,2012 Jan,34,2012,31-35,31,Carlsen Era,No,12
12,Morozevich,2758,2013 Jan,35,2013,31-35,-5,Carlsen Era,No,12
10,Movsesian S,2751,2009 Jan,30,2009,26-30,0,Transition,No,1
10,Nakamura,2751,2011 Jan,23,2011,17-25,0,Carlsen Era,No,10
12,Nakamura,2759,2012 Jan,24,2012,17-25,8,Carlsen Era,No,10
9,Nakamura,2769,2013 Jan,25,2013,17-25,10,Carlsen Era,No,10
3,Nakamura,2789,2014 Jan,26,2014,26-30,20,Carlsen Era,No,10
9,Nakamura,2776,2015 Jan,27,2015,26-30,-13,Carlsen Era,No,10
6,Nakamura,2787,2016 Jan,28,2016,26-30,11,Carlsen Era,No,10
7,Nakamura,2785,2017 Jan,29,2017,26-30,-2,Carlsen Era,No,10
8,Nakamura,2781,2018 Jan,30,2018,26-30,-4,Carlsen Era,No,10
16,Nakamura,2749,2019 Jan,31,2019,31-35,-32,Carlsen Era,No,10
20,Nakamura,2736,2021 Jan,33,2021,31-35,-13,Carlsen Era,No,10
15,Navara,2719,2007 Jan,21,2007,17-25,0,Transition,No,3
17,Navara,2749,2018 Jan,32,2018,31-35,30,Carlsen Era,No,3
18,Navara,2738,2019 Jan,33,2019,31-35,-11,Carlsen Era,No,3
15,Nepomniachtchi,2733,2011 Jan,20,2011,17-25,0,Carlsen Era,No,7
18,Nepomniachtchi,2735,2012 Jan,21,2012,17-25,2,Carlsen Era,No,7
11,Nepomniachtchi,2767,2017 Jan,26,2017,26-30,32,Carlsen Era,No,7
16,Nepomniachtchi,2751,2018 Jan,27,2018,26-30,-16,Carlsen Era,No,7
13,Nepomniachtchi,2763,2019 Jan,28,2019,26-30,12,Carlsen Era,No,7
5,Nepomniachtchi,2774,2020 Jan,29,2020,26-30,11,Carlsen Era,No,7
4,Nepomniachtchi,2789,2021 Jan,30,2021,26-30,15,Carlsen Era,No,7
13,Polgar J,2700,2003 Jan,26,2003,26-30,0,Kasparov Era,No,4
8,Polgar J,2728,2004 Jan,27,2004,26-30,28,Kasparov Era,No,4
14,Polgar J,2711,2006 Jan,29,2006,26-30,-17,Kasparov Era,No,4
13,Polgar J,2727,2007 Jan,30,2007,26-30,16,Transition,No,4
7,Ponomariov,2727,2002 Jan,18,2002,17-25,0,Kasparov Era,No,10
7,Ponomariov,2734,2003 Jan,19,2003,17-25,7,Kasparov Era,No,10
9,Ponomariov,2722,2004 Jan,20,2004,17-25,-12,Kasparov Era,No,10
15,Ponomariov,2700,2005 Jan,21,2005,17-25,-22,Kasparov Era,No,10
10,Ponomariov,2723,2006 Jan,22,2006,17-25,23,Kasparov Era,No,10
14,Ponomariov,2723,2007 Jan,23,2007,17-25,0,Transition,No,10
18,Ponomariov,2719,2008 Jan,24,2008,17-25,-4,Transition,No,10
16,Ponomariov,2726,2009 Jan,25,2009,17-25,7,Transition,No,10
13,Ponomariov,2737,2010 Jan,26,2010,26-30,11,Carlsen Era,No,10
11,Ponomariov,2744,2011 Jan,27,2011,26-30,7,Carlsen Era,No,10
19,Radjabov,2700,2006 Jan,18,2006,17-25,0,Kasparov Era,No,13
11,Radjabov,2729,2007 Jan,19,2007,17-25,29,Transition,No,13
12,Radjabov,2735,2008 Jan,20,2008,17-25,6,Transition,No,13
6,Radjabov,2761,2009 Jan,21,2009,17-25,26,Transition,No,13
16,Radjabov,2733,2010 Jan,22,2010,17-25,-28,Carlsen Era,No,13
12,Radjabov,2744,2011 Jan,23,2011,17-25,11,Carlsen Era,No,13
5,Radjabov,2773,2012 Jan,24,2012,17-25,29,Carlsen Era,No,13
4,Radjabov,2793,2013 Jan,25,2013,17-25,20,Carlsen Era,No,13
20,Radjabov,2734,2015 Jan,27,2015,26-30,-59,Carlsen Era,No,13
19,Radjabov,2748,2018 Jan,30,2018,26-30,14,Carlsen Era,No,13
